ï»¿Player_SN,Player_LN,Player Valuation,scouting_period,Age,Height,Gen_Pos,Position,Foot,Data_League,Goals,Assists,Non.Penalty.Goals,Penalty.Kicks.Made,Penalty.Kicks.Attempted,Yellow.Cards,Red.Cards,xG,npxG,xA,npxG.xA,Goals.1,Shots.Total,Shots.on.target,Shots.on.target..,Goals.Shot,Goals.Shot.on.target,Average.Shot.Distance,Shots.from.free.kicks,Penalty.Kicks.Made.1,Penalty.Kicks.Attempted.1,xG.1,npxG.1,npxG.Sh,Goals...xG,Non.Penalty.Goals...npxG,Passes.Completed,Passes.Attempted,Pass.Completion..,Total.Passing.Distance,Progressive.Passing.Distance,Passes.Completed..Short.,Passes.Attempted..Short.,Pass.Completion....Short.,Passes.Completed..Medium.,Passes.Attempted..Medium.,Pass.Completion....Medium.,Passes.Completed..Long.,Passes.Attempted..Long.,Pass.Completion....Long.,Assists.1,xA.1,Key.Passes,Passes.into.Final.Third,Passes.into.Penalty.Area,Crosses.into.Penalty.Area,Progressive.Passes,Passes.Attempted.1,Live.ball.passes,Dead.ball.passes,Passes.from.Free.Kicks,Through.Balls,Passes.Under.Pressure,Switches,Crosses,Corner.Kicks,Inswinging.Corner.Kicks,Outswinging.Corner.Kicks,Straight.Corner.Kicks,Ground.passes,Low.Passes,High.Passes,Passes.Attempted..Left.,Passes.Attempted..Right.,Passes.Attempted..Head.,Throw.Ins.taken,Passes.Attempted..Other.,Passes.Completed.1,Passes.Offside,Passes.Out.of.Bounds,Passes.Intercepted,Passes.Blocked,Shot.Creating.Actions,SCA..PassLive.,SCA..PassDead.,SCA..Drib.,SCA..Sh.,SCA..Fld.,SCA..Def.,Goal.Creating.Actions,GCA..PassLive.,GCA..PassDead.,GCA..Drib.,GCA..Sh.,GCA..Fld.,GCA..Def.,Tackles,Tackles.Won,Tackles..Def.3rd.,Tackles..Mid.3rd.,Tackles..Att.3rd.,Dribblers.Tackled,Dribbles.Contested,X..of.dribblers.tackled,Dribbled.Past,Pressures,Successful.Pressures,Successful.Pressure..,Pressures..Def.3rd.,Pressures..Mid.3rd.,Pressures..Att.3rd.,Blocks,Shots.Blocked,Shots.Saved,Passes.Blocked.1,Interceptions,Tkl.Int,Clearances,Errors,Touches,Touches..Def.Pen.,Touches..Def.3rd.,Touches..Mid.3rd.,Touches..Att.3rd.,Touches..Att.Pen.,Touches..Live.Ball.,Dribbles.Completed,Dribbles.Attempted,Successful.Dribble..,Players.Dribbled.Past,Nutmegs,Carries,Total.Carrying.Distance,Progressive.Carrying.Distance,Progressive.Carries,Carries.into.Final.Third,Carries.into.Penalty.Area,Miscontrols,Dispossessed,Pass.Targets,Passes.Received,Passes.Received..,Progressive.Passes.Rec,Yellow.Cards.1,Red.Cards.1,Second.Yellow.Card,Fouls.Committed,Fouls.Drawn,Offsides,Crosses.1,Interceptions.1,Tackles.Won.1,Penalty.Kicks.Won,Penalty.Kicks.Conceded,Own.Goals,Ball.Recoveries,Aerials.won,Aerials.lost,X..of.Aerials.Won
Abdou Diallo,Abdou-Lakhad Diallo,23500000,2021-2022,27.0,1.87,Centre-Back,Centre-Back,left,Ligue 1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.02,0.02,0.06,0.07,0.0,0.21,0.1,50.0,0.0,0.0,14.0,0.0,0.0,0.0,0.02,0.02,0.1,-0.02,-0.02,64.04,71.63,89.4,1160.05,434.5,26.27,28.43,92.4,30.48,32.74,93.1,6.47,8.93,72.4,0.1,0.06,0.41,3.69,0.82,0.31,5.54,71.63,65.06,6.57,1.33,0.0,6.26,1.13,1.44,0.0,0.0,0.0,0.0,56.34,8.83,6.47,57.26,7.08,0.92,5.23,0.1,64.04,0.1,0.62,1.54,0.92,0.51,0.51,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,2.46,1.85,1.23,0.92,0.31,0.92,1.74,52.9,0.82,12.11,4.52,37.3,4.1,5.54,2.46,1.44,0.31,0.0,1.13,1.33,3.8,2.05,0.1,81.28,6.26,26.99,43.41,17.24,0.92,74.81,1.54,2.36,65.2,1.74,0.1,59.73,304.89,180.51,6.47,2.16,0.31,1.03,1.13,62.5,60.65,97.0,1.03,0.1,0.0,0.0,1.23,0.31,0.0,1.44,1.33,1.85,0.0,0.0,0.0,5.95,1.54,0.41,78.9
Abdou Diallo,Abdou-Lakhad Diallo,25000000,2020-2021,26.0,1.87,Centre-Back,Centre-Back,left,Ligue 1,0.0,0.06,0.0,0.0,0.0,0.18,0.12,0.02,0.02,0.03,0.04,0.0,0.24,0.0,0.0,0.0,,11.0,0.0,0.0,0.0,0.02,0.02,0.07,-0.02,-0.02,66.99,71.94,93.1,1245.38,448.97,28.63,29.66,96.5,30.08,31.47,95.6,7.67,9.72,78.9,0.06,0.03,0.06,4.35,0.3,0.12,4.53,71.94,67.47,4.47,1.57,0.06,4.77,1.45,0.6,0.0,0.0,0.0,0.0,61.19,5.92,4.83,57.93,9.06,1.09,2.9,0.18,66.99,0.12,0.54,0.91,0.42,0.36,0.3,0.0,0.0,0.0,0.0,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,1.39,0.91,0.79,0.48,0.12,0.48,0.85,57.1,0.36,7.61,2.48,32.5,3.38,3.56,0.66,1.39,0.48,0.0,0.91,1.03,2.42,2.78,0.12,80.64,7.43,32.56,46.15,7.79,0.42,76.35,1.21,2.11,57.1,1.39,0.0,59.19,283.35,170.64,4.65,1.21,0.0,0.66,0.24,61.73,60.1,97.4,0.6,0.18,0.12,0.06,0.91,0.6,0.06,0.6,1.03,0.91,0.0,0.0,0.0,8.58,1.45,0.91,61.5
Abdou Diallo,Abdou-Lakhad Diallo,31500000,2019-2020,25.0,1.87,Centre-Back,Centre-Back,left,Ligue 1,0.0,0.07,0.0,0.0,0.0,0.3,0.0,0.06,0.06,0.01,0.07,0.0,0.37,0.15,40.0,0.0,0.0,6.3,0.0,0.0,0.0,0.06,0.06,0.17,-0.06,-0.06,73.89,79.51,92.9,1482.71,518.87,25.25,26.38,95.7,36.72,38.59,95.1,11.17,13.04,85.6,0.07,0.01,0.22,6.29,0.37,0.07,5.4,79.51,75.84,3.67,1.5,0.07,8.54,0.97,0.45,0.0,0.0,0.0,0.0,66.92,7.12,5.47,63.62,12.06,0.9,2.17,0.15,73.89,0.07,0.97,0.15,0.97,0.75,0.52,0.07,0.0,0.15,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,1.27,0.75,0.6,0.6,0.07,0.45,1.12,40.0,0.67,11.24,4.2,37.3,5.55,5.25,0.45,1.65,0.45,0.0,1.2,0.6,1.87,3.0,0.0,87.6,7.12,33.27,57.1,5.47,0.6,84.08,1.27,1.57,81.0,1.35,0.07,66.99,383.83,239.73,7.49,1.42,0.07,0.3,0.45,69.17,67.89,98.2,0.45,0.3,0.0,0.0,1.72,0.45,0.0,0.45,0.6,0.75,0.0,0.0,0.0,9.22,1.27,0.82,60.7
Abdou Diallo,Abdou-Lakhad Diallo,31000000,2018-2019,24.0,1.87,Centre-Back,Centre-Back,left,Bundesliga,0.04,0.04,0.04,0.0,0.0,0.04,0.04,0.03,0.03,0.03,0.06,0.04,0.26,0.11,42.9,0.14,0.33,8.4,0.0,0.0,0.0,0.03,0.03,0.12,0.01,0.01,65.33,73.88,88.4,1317.12,445.91,23.15,25.12,92.2,31.74,34.09,93.1,9.84,13.28,74.1,0.04,0.03,0.42,4.77,0.45,0.23,4.39,73.88,67.91,5.98,1.66,0.08,7.64,2.16,0.68,0.0,0.0,0.0,0.0,57.62,8.36,7.91,56.03,10.71,2.01,4.31,0.11,65.33,0.11,1.06,0.98,1.06,0.57,0.49,0.0,0.0,0.04,0.04,0.0,0.08,0.04,0.0,0.0,0.04,0.0,0.0,1.4,0.87,0.87,0.49,0.04,0.34,0.76,45.0,0.42,9.31,2.99,32.1,5.49,3.44,0.38,1.82,0.53,0.04,1.29,0.98,2.38,3.86,0.11,84.1,7.23,33.9,46.65,9.08,0.64,78.35,1.4,1.93,72.5,1.51,0.04,61.7,308.29,171.15,5.56,1.1,0.08,0.57,0.72,61.82,60.04,97.1,0.64,0.04,0.04,0.0,0.95,0.49,0.04,0.68,0.98,0.87,0.0,0.0,0.0,9.53,1.32,0.72,64.8
Abdou Diallo,Abdou-Lakhad Diallo,8625000,2017-2018,23.0,1.87,Centre-Back,Centre-Back,left,Bundesliga,0.07,0.04,0.07,0.0,0.0,0.19,0.0,0.09,0.09,0.03,0.12,0.07,0.48,0.11,23.1,0.15,0.67,6.6,0.0,0.0,0.0,0.09,0.09,0.18,-0.01,-0.01,33.73,44.76,75.4,733.27,333.5,10.36,12.45,83.2,16.66,19.49,85.5,6.26,11.48,54.5,0.04,0.03,0.22,2.98,0.75,0.26,4.06,44.76,40.7,4.06,1.6,0.0,7.6,1.57,0.75,0.0,0.0,0.0,0.0,25.34,6.41,13.01,33.8,4.43,2.39,2.46,0.07,33.73,0.22,0.89,0.86,1.08,0.97,0.78,0.0,0.11,0.04,0.0,0.04,0.15,0.15,0.0,0.0,0.0,0.0,0.0,2.35,1.57,1.42,0.82,0.11,0.71,1.16,61.3,0.45,13.01,5.37,41.3,8.16,4.06,0.78,1.75,0.52,0.0,1.23,0.93,3.28,3.99,0.0,55.75,4.4,25.38,28.66,5.93,0.89,51.84,1.34,1.79,75.0,1.45,0.11,32.27,184.21,104.65,3.32,1.01,0.04,0.63,0.63,31.34,29.81,95.1,0.52,0.19,0.0,0.0,2.12,0.37,0.19,0.75,0.93,1.57,0.0,0.04,0.0,11.55,2.76,1.04,72.5
Abdoulaye Ba,Abdoulaye Ba,2000000,2018-2019,29.0,1.97,Centre-Back,Centre-Back,right,La Liga,0.04,0.0,0.04,0.0,0.0,0.17,0.09,0.05,0.05,0.0,0.05,0.04,0.38,0.17,44.4,0.11,0.25,8.0,0.0,0.0,0.0,0.05,0.05,0.13,0.0,0.0,36.51,44.23,82.5,837.68,292.22,9.04,10.02,90.2,18.98,20.82,91.2,8.27,12.84,64.5,0.0,0.0,0.04,1.19,0.0,0.0,1.19,44.23,42.44,1.79,1.71,0.0,5.97,1.62,0.0,0.0,0.0,0.0,0.0,31.18,4.99,8.06,5.72,34.81,2.43,0.09,0.3,36.51,0.04,1.41,0.34,0.47,0.26,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,1.19,1.66,0.3,0.09,0.94,1.58,59.5,0.64,8.15,2.22,27.2,5.67,2.26,0.21,1.96,0.81,0.04,1.15,1.11,3.16,7.68,0.21,57.2,9.64,37.19,21.24,1.07,0.47,55.58,0.13,0.26,50.0,0.17,0.0,32.46,157.22,66.2,0.73,0.04,0.0,0.3,0.04,32.12,31.18,97.1,0.38,0.17,0.09,0.0,0.94,0.73,0.04,0.0,1.11,1.19,0.0,0.13,0.0,10.49,2.64,0.81,76.5
Adam Webster,Adam Harry Webster,18000000,2021-2022,28.0,1.9,Centre-Back,Centre-Back,right,Premier League,0.15,0.0,0.15,0.0,0.0,0.31,0.0,0.08,0.08,0.01,0.08,0.15,0.54,0.15,28.6,0.29,1.0,9.4,0.0,0.0,0.0,0.08,0.08,0.18,0.08,0.08,63.55,75.73,83.9,1364.58,472.52,17.12,19.36,88.4,36.09,39.1,92.3,9.64,15.66,61.6,0.0,0.01,0.08,6.56,0.08,0.0,4.55,75.73,73.8,1.93,0.93,0.0,8.33,2.47,0.31,0.0,0.0,0.0,0.0,56.76,5.71,13.26,15.42,52.83,3.86,1.0,0.31,63.55,0.08,1.23,1.7,1.0,0.69,0.69,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,1.47,0.69,1.08,0.23,0.15,0.77,1.47,52.6,0.69,7.17,2.62,36.6,4.4,2.24,0.54,2.16,1.08,0.0,1.08,1.85,3.32,4.63,0.15,86.76,7.87,43.88,43.11,8.02,0.85,84.83,0.54,0.62,87.5,0.54,0.08,57.15,345.35,221.26,5.48,1.7,0.15,0.23,0.31,62.39,61.62,98.8,0.15,0.31,0.0,0.0,1.23,0.15,0.0,0.31,1.85,0.69,0.0,0.0,0.0,11.57,3.39,1.08,75.9
Adam Webster,Adam Harry Webster,16000000,2020-2021,27.0,1.9,Centre-Back,Centre-Back,right,Premier League,0.03,0.0,0.03,0.0,0.0,0.14,0.0,0.04,0.04,0.01,0.05,0.03,0.83,0.21,25.0,0.04,0.17,12.7,0.0,0.0,0.0,0.04,0.04,0.05,-0.01,-0.01,51.49,62.24,82.7,1127.81,392.72,14.09,16.24,86.8,27.72,30.84,89.9,9.33,13.88,67.3,0.0,0.01,0.21,4.58,0.24,0.03,3.82,62.24,60.4,1.84,1.01,0.03,8.29,1.73,0.07,0.0,0.0,0.0,0.0,45.17,5.45,11.62,14.36,41.22,3.96,0.83,0.07,51.49,0.07,1.21,0.97,1.01,0.69,0.62,0.0,0.0,0.03,0.03,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,1.04,0.73,0.62,0.35,0.07,0.49,1.11,43.8,0.62,7.42,3.02,40.7,3.37,3.23,0.83,1.77,0.73,0.03,1.04,1.39,2.43,4.27,0.0,71.99,8.15,38.2,34.73,6.73,1.14,70.26,0.24,0.38,63.6,0.31,0.0,46.91,336.23,220.21,5.62,1.91,0.07,0.56,0.49,51.21,50.1,97.8,0.14,0.14,0.0,0.0,0.87,0.66,0.03,0.07,1.39,0.73,0.0,0.0,0.0,11.1,3.12,1.73,64.3
Adam Webster,Adam Harry Webster,14000000,2019-2020,26.0,1.9,Centre-Back,Centre-Back,right,Premier League,0.1,0.03,0.1,0.0,0.0,0.13,0.0,0.04,0.04,0.03,0.07,0.1,0.54,0.24,43.8,0.19,0.43,13.2,0.0,0.0,0.0,0.04,0.04,0.07,0.06,0.06,52.19,61.53,84.8,1138.59,389.38,15.45,17.07,90.5,26.58,29.62,89.7,9.92,13.97,71.0,0.03,0.03,0.34,3.07,0.17,0.03,3.17,61.53,58.7,2.83,1.75,0.03,10.05,1.59,0.3,0.0,0.0,0.0,0.0,42.81,8.13,10.59,11.23,43.79,3.54,1.05,0.17,52.19,0.17,0.88,0.64,0.57,0.74,0.64,0.03,0.03,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,1.25,0.84,0.84,0.34,0.07,0.54,1.21,44.4,0.67,7.49,2.9,38.7,4.93,2.26,0.3,2.23,1.05,0.0,1.18,1.15,2.4,6.14,0.1,73.37,11.77,43.21,31.64,4.42,1.01,70.81,0.4,0.47,85.7,0.4,0.0,45.47,308.25,192.48,3.41,0.94,0.1,0.27,0.47,48.07,47.23,98.2,0.61,0.13,0.0,0.0,0.54,0.67,0.0,0.3,1.15,0.84,0.0,0.07,0.03,12.25,4.01,1.72,70.0
Adama Soumaoro,Bakary Adama Soumaoro,4000000,2021-2022,30.0,1.86,Centre-Back,Centre-Back,right,Serie A,0.0,0.0,0.0,0.0,0.0,0.33,0.05,0.05,0.05,0.01,0.05,0.0,0.38,0.05,14.3,0.0,0.0,7.8,0.0,0.0,0.0,0.05,0.05,0.13,-0.05,-0.05,39.0,43.6,89.4,713.81,228.81,15.34,16.93,90.6,18.79,20.43,92.0,4.11,4.93,83.3,0.0,0.01,0.05,2.14,0.05,0.0,2.36,43.6,41.36,2.25,1.86,0.0,4.98,0.44,0.11,0.0,0.0,0.0,0.0,34.46,3.83,5.31,2.52,35.82,2.96,0.38,0.33,39.0,0.05,0.38,0.49,0.6,0.6,0.55,0.0,0.0,0.05,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.66,0.49,0.33,0.22,0.11,0.11,0.27,40.0,0.16,6.63,2.74,41.3,3.45,2.63,0.55,1.04,0.55,0.0,0.49,1.75,2.41,3.4,0.0,51.38,5.86,22.51,27.61,3.94,0.77,49.35,0.27,0.38,71.4,0.27,0.0,31.11,142.04,70.99,2.08,0.55,0.05,0.27,0.16,33.09,31.72,95.9,0.16,0.33,0.05,0.0,0.99,0.71,0.05,0.11,1.75,0.49,0.0,0.05,0.05,9.04,2.96,0.55,84.4
Adama Soumaoro,Bakary Adama Soumaoro,4625000,2020-2021,29.0,1.86,Centre-Back,Centre-Back,right,Serie A,0.05,0.0,0.05,0.0,0.0,0.21,0.0,0.06,0.06,0.01,0.07,0.05,0.36,0.1,28.6,0.14,0.5,7.4,0.0,0.0,0.0,0.06,0.06,0.17,-0.01,-0.01,42.0,45.85,91.6,822.72,237.49,14.15,15.33,92.3,21.79,22.72,95.9,5.59,6.92,80.7,0.0,0.01,0.1,1.13,0.0,0.0,1.79,45.85,42.21,3.64,3.38,0.0,4.51,0.67,0.0,0.0,0.0,0.0,0.0,37.49,4.15,4.21,4.1,37.18,2.51,0.26,0.21,42.0,0.05,0.46,0.46,0.41,0.46,0.41,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.82,1.18,0.26,0.0,0.31,0.62,50.0,0.31,11.03,4.0,36.3,6.67,4.05,0.31,2.36,1.33,0.0,1.03,1.64,3.08,5.23,0.0,56.92,8.51,29.9,28.36,1.64,0.51,53.59,0.15,0.15,100.0,0.15,0.0,30.87,166.72,80.87,1.59,0.21,0.0,0.21,0.1,33.03,32.15,97.4,0.1,0.21,0.0,0.0,1.9,1.03,0.0,0.0,1.64,0.82,0.0,0.15,0.0,9.44,3.59,0.92,79.5
Adama Soumaoro,Bakary Adama Soumaoro,9000000,2019-2020,28.0,1.86,Centre-Back,Centre-Back,right,Serie A,0.14,0.0,0.14,0.0,0.0,0.28,0.0,0.08,0.08,0.0,0.08,0.14,0.28,0.14,50.0,0.5,1.0,7.5,0.0,0.0,0.0,0.08,0.08,0.3,0.06,0.06,41.68,44.79,93.1,943.23,166.86,11.02,11.87,92.9,18.08,19.36,93.4,11.73,12.57,93.3,0.0,0.0,0.0,0.57,0.0,0.0,0.57,44.79,43.23,1.55,1.41,0.0,6.08,1.41,0.0,0.0,0.0,0.0,0.0,37.02,4.1,3.67,2.68,38.15,2.54,0.14,0.14,41.68,0.0,0.42,0.14,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.71,0.57,0.28,0.0,0.28,0.42,66.7,0.14,6.78,2.4,35.4,4.66,2.12,0.0,1.84,1.27,0.0,0.57,0.42,1.27,6.36,0.0,54.68,10.46,29.67,25.57,1.13,0.71,53.12,0.0,0.0,,0.0,0.0,31.65,155.7,58.63,1.13,0.14,0.0,0.0,0.0,33.2,32.92,99.1,0.42,0.28,0.0,0.0,0.57,0.0,0.14,0.0,0.42,0.71,0.0,0.0,0.0,9.75,2.83,0.85,76.9
Adama Soumaoro,Bakary Adama Soumaoro,8666666,2018-2019,27.0,1.86,Centre-Back,Centre-Back,right,Ligue 1,0.0,0.05,0.0,0.0,0.0,0.31,0.05,0.03,0.03,0.03,0.06,0.0,0.37,0.0,0.0,0.0,,10.1,0.0,0.0,0.0,0.03,0.03,0.07,-0.03,-0.03,45.03,48.37,93.1,1000.86,268.17,9.92,10.97,90.5,26.64,27.79,95.9,8.25,9.25,89.3,0.05,0.03,0.1,0.63,0.05,0.0,0.99,48.37,46.59,1.78,1.78,0.05,5.17,0.99,0.0,0.0,0.0,0.0,0.0,41.74,2.72,3.92,5.17,39.65,2.56,0.0,0.05,45.03,0.0,0.73,0.1,0.1,0.26,0.21,0.0,0.0,0.05,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.84,0.84,0.68,0.16,0.0,0.21,0.31,66.7,0.1,4.49,2.09,46.5,3.55,0.84,0.1,1.88,1.15,0.0,0.73,0.68,1.51,4.13,0.05,56.88,6.53,33.12,26.64,1.31,0.63,55.26,0.21,0.37,57.1,0.21,0.0,36.77,215.1,115.86,1.88,0.21,0.0,0.16,0.21,37.3,36.67,98.3,0.57,0.31,0.05,0.05,1.36,0.94,0.0,0.0,0.68,0.84,0.0,0.0,0.0,9.72,1.46,0.89,62.2
Adama Soumaoro,Bakary Adama Soumaoro,3166666,2017-2018,26.0,1.86,Centre-Back,Centre-Back,right,Ligue 1,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.01,0.01,0.0,0.01,0.0,0.08,0.0,0.0,0.0,,9.0,0.0,0.0,0.0,0.01,0.01,0.06,-0.01,-0.01,38.58,42.51,90.8,745.22,247.27,12.99,13.74,94.5,21.07,22.42,93.9,4.15,5.74,72.4,0.0,0.0,0.08,1.13,0.0,0.0,1.81,42.51,41.6,0.91,0.68,0.0,5.81,0.23,0.0,0.0,0.0,0.0,0.0,36.09,2.11,4.3,5.81,33.22,2.11,0.23,0.38,38.58,0.15,0.76,0.45,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.38,0.6,0.15,0.0,0.08,0.15,50.0,0.08,3.02,1.21,40.0,2.11,0.83,0.08,2.34,1.59,0.0,0.76,1.28,2.04,3.25,0.23,50.81,7.78,34.35,19.4,0.68,0.38,49.98,0.08,0.15,50.0,0.08,0.0,33.98,243.95,126.92,2.64,0.08,0.0,0.15,0.23,31.26,30.65,98.1,0.3,0.15,0.0,0.0,0.6,1.13,0.08,0.0,1.28,0.38,0.0,0.0,0.0,9.36,0.83,0.23,78.6
Adil Rami,Adil Rami,375000,2021-2022,37.0,1.91,Centre-Back,Centre-Back,right,Ligue 1,0.25,0.0,0.25,0.0,0.0,0.08,0.0,0.07,0.07,0.0,0.07,0.25,0.42,0.25,60.0,0.6,1.0,6.6,0.0,0.0,0.0,0.07,0.07,0.16,0.18,0.18,32.32,38.51,83.9,737.75,271.51,10.38,11.55,89.9,14.65,16.24,90.2,7.03,10.13,69.4,0.0,0.0,0.08,1.59,0.08,0.0,1.67,38.51,37.0,1.51,1.17,0.0,4.44,2.68,0.0,0.0,0.0,0.0,0.0,28.05,3.27,7.2,4.44,31.56,1.26,0.33,0.08,32.32,0.17,1.59,0.59,0.42,0.42,0.33,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,1.09,0.84,0.5,0.08,0.92,1.17,78.6,0.25,6.78,2.43,35.8,4.02,2.6,0.17,1.34,0.67,0.0,0.67,1.42,2.85,3.35,0.0,46.38,7.7,29.22,17.5,2.26,0.75,44.96,0.33,0.5,66.7,0.42,0.0,27.71,140.57,71.41,1.26,0.42,0.0,0.5,0.17,30.81,29.64,96.2,0.0,0.08,0.0,0.0,0.67,0.42,0.0,0.0,1.42,1.09,0.0,0.0,0.0,7.37,1.76,0.92,65.6
Adil Rami,Adil Rami,5000000,2018-2019,34.0,1.91,Centre-Back,Centre-Back,right,Ligue 1,0.06,0.06,0.06,0.0,0.0,0.13,0.0,0.06,0.06,0.01,0.08,0.06,0.83,0.13,15.4,0.08,0.5,8.6,0.0,0.0,0.0,0.06,0.06,0.08,0.0,0.0,45.06,53.73,83.9,970.3,336.16,13.77,15.68,87.8,22.31,25.05,89.1,8.67,12.17,71.2,0.06,0.01,0.19,2.49,0.32,0.0,2.93,53.73,52.27,1.47,1.47,0.0,5.35,1.85,0.06,0.0,0.0,0.0,0.0,37.99,5.8,9.94,5.86,42.2,3.76,0.0,0.13,45.06,0.13,1.02,0.38,0.7,0.51,0.32,0.0,0.0,0.19,0.0,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.0,1.08,0.7,0.76,0.32,0.0,0.38,0.96,40.0,0.57,5.1,2.04,40.0,2.93,1.78,0.38,1.47,0.76,0.06,0.7,0.45,1.53,4.53,0.13,62.59,5.8,35.82,27.41,2.61,1.53,61.19,0.19,0.26,75.0,0.19,0.0,40.22,194.79,110.52,2.36,0.38,0.0,0.13,0.19,41.3,39.9,96.6,0.26,0.13,0.0,0.0,1.08,0.64,0.13,0.06,0.45,0.7,0.0,0.19,0.0,13.13,2.61,0.76,77.4
Adil Rami,Adil Rami,6333333,2017-2018,33.0,1.91,Centre-Back,Centre-Back,right,Ligue 1,0.03,0.06,0.03,0.0,0.0,0.15,0.0,0.05,0.05,0.04,0.09,0.03,0.43,0.06,14.3,0.07,0.5,11.5,0.0,0.0,0.0,0.05,0.05,0.11,-0.02,-0.02,48.21,56.95,84.7,1075.37,376.26,14.35,16.11,89.0,23.67,25.92,91.3,9.96,14.07,70.8,0.06,0.04,0.21,2.59,0.06,0.0,2.28,56.95,55.49,1.46,1.4,0.0,6.03,2.89,0.06,0.0,0.0,0.0,0.0,41.63,3.11,12.21,5.42,45.08,5.21,0.03,0.21,48.21,0.12,1.58,0.55,0.58,0.67,0.55,0.03,0.0,0.09,0.0,0.0,0.12,0.09,0.03,0.0,0.0,0.0,0.0,1.07,0.61,0.7,0.3,0.06,0.34,0.85,39.3,0.52,5.36,2.04,38.1,3.62,1.52,0.21,1.34,0.58,0.0,0.76,1.01,2.07,2.62,0.06,63.93,5.7,42.4,23.51,2.07,0.7,62.53,0.18,0.24,75.0,0.21,0.0,41.39,220.29,117.17,1.83,0.43,0.0,0.03,0.06,40.72,40.14,98.6,0.18,0.15,0.0,0.0,1.13,0.67,0.03,0.06,1.01,0.61,0.0,0.0,0.03,12.97,1.16,0.61,65.5
Adrian Mariappa,Adrian Joseph Mariappa,1800000,2019-2020,34.0,1.79,Centre-Back,Centre-Back,right,Premier League,0.0,0.0,0.0,0.0,0.0,0.36,0.06,0.02,0.02,0.02,0.04,0.0,0.18,0.0,0.0,0.0,,8.4,0.0,0.0,0.0,0.02,0.02,0.08,-0.02,-0.02,25.34,34.8,72.8,503.83,224.38,9.04,10.35,87.4,12.13,16.06,75.6,3.63,7.32,49.6,0.0,0.02,0.24,1.9,0.18,0.18,2.2,34.8,26.83,7.97,0.42,0.06,4.34,0.71,1.07,0.0,0.0,0.0,0.0,15.05,7.2,12.55,2.62,21.18,2.5,7.55,0.0,25.34,0.12,0.89,0.36,0.59,0.59,0.59,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,1.49,0.71,1.07,0.3,0.12,0.65,2.26,28.9,1.61,11.72,3.39,28.9,6.78,3.81,1.13,2.08,0.54,0.0,1.55,0.42,1.9,5.53,0.06,45.33,5.0,18.8,20.4,7.2,0.3,37.36,0.06,0.18,33.3,0.12,0.0,18.74,58.53,24.45,1.07,0.36,0.0,0.3,0.18,20.58,19.63,95.4,0.36,0.36,0.06,0.06,1.37,0.42,0.12,1.07,0.42,0.71,0.0,0.0,0.06,7.91,2.44,1.9,56.2
